
 Name                         Version      License                                             
 GitPython                    3.1.43       BSD License                                         
 Jinja2                       3.1.4        BSD License                                         
 MarkupSafe                   2.1.5        BSD License                                         
 MedicalMultitaskModeling     1.0.2        Other/Proprietary License (this software)                         
 PyYAML                       6.0.1        MIT License                                         
 Pygments                     2.18.0       BSD License                                         
 affine                       2.4.0        BSD License                                         
 aiobotocore                  2.12.3       Apache Software License                             
 aiofiles                     23.2.1       Apache Software License                             
 aiohttp                      3.9.5        Apache Software License                             
 aioitertools                 0.11.0       MIT License                                         
 aiosignal                    1.3.1        Apache Software License                             
 albumentations               1.4.7        MIT License                                         
 altair                       5.3.0        BSD License                                         
 annotated-types              0.6.0        MIT License                                         
 anyio                        4.3.0        MIT License                                         
 appdirs                      1.4.4        MIT License                                         
 appnope                      0.1.4        BSD License                                         
 argon2-cffi                  23.1.0       MIT License                                         
 argon2-cffi-bindings         21.2.0       MIT License                                         
 asciitree                    0.3.3        MIT                                                 
 asttokens                    2.4.1        Apache 2.0                                          
 attrs                        23.2.0       MIT License                                         
 beautifulsoup4               4.12.3       MIT License                                         
 bleach                       6.1.0        Apache Software License                             
 blinker                      1.8.2        MIT License                                         
 botocore                     1.34.69      Apache Software License                             
 cachetools                   5.3.3        MIT License                                         
 certifi                      2024.2.2     Mozilla Public License 2.0 (MPL 2.0)                
 cffi                         1.16.0       MIT License                                         
 charset-normalizer           3.3.2        MIT License                                         
 click                        8.1.7        BSD License                                         
 click-plugins                1.1.1        BSD License                                         
 cligj                        0.7.2        BSD                                                 
 comm                         0.2.2        BSD License                                         
 contourpy                    1.2.1        BSD License                                         
 cycler                       0.12.1       BSD License                                         
 debugpy                      1.8.1        MIT License                                         
 decorator                    5.1.1        BSD License                                         
 deepdiff                     6.7.1        MIT License                                         
 defusedxml                   0.7.1        Python Software Foundation License                  
 dnspython                    2.6.1        ISC License (ISCL)                                  
 docker-pycreds               0.4.0        Apache Software License                             
 efficientnet_pytorch         0.7.1        Apache Software License                             
 email_validator              2.1.1        The Unlicense (Unlicense)                           
 executing                    2.0.1        MIT License                                         
 fastapi                      0.110.3      MIT License                                         
 fasteners                    0.19         Apache Software License                             
 fastjsonschema               2.19.1       BSD License                                         
 filelock                     3.14.0       The Unlicense (Unlicense)                           
 fonttools                    4.51.0       MIT License                                         
 frozenlist                   1.4.1        Apache Software License                             
 fsspec                       2024.3.1     BSD License                                         
 gitdb                        4.0.11       BSD License                                         
 h11                          0.14.0       MIT License                                         
 httpcore                     1.0.5        BSD License                                         
 httptools                    0.6.1        MIT License                                         
 httpx                        0.27.0       BSD License                                         
 huggingface-hub              0.23.0       Apache Software License                             
 idna                         3.7          BSD License                                         
 ijson                        3.2.3        BSD License                                         
 imagecodecs                  2024.1.1     BSD License                                         
 imageio                      2.34.1       BSD License                                         
 ipykernel                    6.29.4       BSD License                                         
 ipython                      8.24.0       BSD License                                         
 ipywidgets                   8.1.2        BSD License                                         
 itsdangerous                 2.2.0        BSD License                                         
 jedi                         0.19.1       MIT License                                         
 jmespath                     1.0.1        MIT License                                         
 joblib                       1.4.2        BSD License                                         
 json5                        0.9.25       Apache Software License                             
 jsonschema                   4.22.0       MIT License                                         
 jsonschema-specifications    2023.12.1    MIT License                                         
 jupyter_client               8.6.1        BSD License                                         
 jupyter_core                 5.7.2        BSD License                                         
 jupyterlab_pygments          0.3.0        BSD License                                         
 jupyterlab_widgets           3.0.10       BSD License                                         
 kiwisolver                   1.4.5        BSD License                                         
 label-studio-converter       0.0.58       Apache Software License                             
 label-studio-sdk             0.0.32       Apache Software License                             
 label-studio-tools           0.0.4        MIT License                                         
 lazy_loader                  0.4          BSD License                                         
 lightgbm                     4.3.0        MIT License                                         
 lxml                         5.2.2        BSD License                                         
 markdown-it-py               3.0.0        MIT License                                         
 matplotlib                   3.8.4        Python Software Foundation License                  
 matplotlib-inline            0.1.7        BSD License                                         
 mdurl                        0.1.2        MIT License                                         
 minio                        7.2.7        Apache Software License                             
 mistune                      3.0.2        BSD License                                         
 monai                        1.3.0        Apache License 2.0                                  
 mpmath                       1.3.0        BSD License                                         
 multidict                    6.0.5        Apache Software License                             
 munch                        4.0.0        MIT License                                         
 nbclient                     0.10.0       BSD License                                         
 nbconvert                    7.16.4       BSD License                                         
 nbformat                     5.10.4       BSD License                                         
 nest-asyncio                 1.6.0        BSD License                                         
 networkx                     3.3          BSD License                                         
 nibabel                      5.2.1        MIT License                                         
 nltk                         3.6.7        Apache Software License                             
 numcodecs                    0.12.1       MIT License                                         
 numpy                        1.26.4       BSD License                                         
 opencv-python                4.9.0.80     Apache Software License                             
 opencv-python-headless       4.9.0.80     Apache Software License                             
 ordered-set                  4.1.0        MIT License                                         
 orjson                       3.10.3       Apache Software License; MIT License                
